#timestamp_lkf,mono_status,stereo_status,nr_keypoints,nrDetectedFeatures,nrTrackerFeatures,nrMonoInliers,nrMonoPutatives,nrStereoInliers,nrStereoPutatives,monoRansacIters,stereoRansacIters,nrValidRKP,nrNoLeftRectRKP,nrNoRightRectRKP,nrNoDepthRKP,nrFailedArunRKP,featureDetectionTime,featureTrackingTime,monoRansacTime,stereoRansacTime,featureSelectionTime,extracted_corners,need_n_corners,frontEndTotalSpinTime,full_preint_duration,Tracking_processStereoFrame_time,clone_rect_params_time_,feature_tracking_time_,some_between_definition_time_,sparse_stereo_time_,outlierRejectionStereo_time_,feature_detection_in_Traking_processStereoFrame_time_,sparseStereoMatching_time_,Feature_Detection_First_Part_,Feature_Detection_Second_Part_,Feature_Detection_Third_Part_,Feature_Detection_Fourth_Part_,Feature_Detection_Fifth_Part_,
1620391275992338008,VALID,VALID,307,0,227,116,227,77,82,18,1,271,11,19,112,5,34351,10999,677,186,0,191,184,83187,56,83127,11844,11741,0,12197,200,34622,10594,1623,20278,429,0,12017
1620391276192344008,VALID,VALID,304,0,225,46,225,18,40,101,1,295,5,19,142,22,41414,8650,2573,80,0,258,254,93030,56,92970,11241,9223,0,12443,85,41793,13703,1627,22973,645,0,16163
1620391276392352008,VALID,FEW_MATCHES,310,0,233,63,233,2,4,70,1,346,8,24,100,2,36858,9956,2356,33,0,247,237,83411,70,83337,5227,10694,0,12953,36,37177,13335,1598,18574,632,1,16050
1620391276592367008,VALID,INVALID,275,0,232,50,232,2,4,101,1,295,13,32,117,0,39522,12425,3139,33,0,225,250,87707,61,87642,4118,13104,0,12647,71,39811,13103,1603,24000,436,0,13479
1620391276792368008,VALID,INVALID,304,0,225,53,225,2,4,93,1,330,12,18,116,0,36954,10031,2956,33,0,251,247,83236,62,83170,5113,10778,0,12252,62,37295,13153,1624,19038,623,1,15664
1620391276992382008,VALID,INVALID,319,0,217,45,217,2,4,101,1,351,5,16,119,0,43969,12052,2758,33,0,274,255,97779,55,97720,7973,12704,0,12312,78,44326,15937,1628,24386,538,1,17412
1620391277192382008,VALID,FEW_MATCHES,288,0,222,70,222,2,3,51,1,318,12,13,96,1,36433,10839,1724,36,0,218,230,83041,88,82948,5278,11724,0,14307,39,36745,11614,1603,18802,437,0,15586
1620391277392396008,VALID,INVALID,306,0,205,54,205,2,3,74,1,334,12,9,102,0,42940,13795,2165,36,0,252,246,95587,54,95529,7544,14617,0,12215,73,43268,14049,1633,23829,585,0,16888
1620391277659028008,VALID,INVALID,296,0,211,49,211,2,3,96,1,323,14,26,95,0,41961,9856,2826,36,0,247,251,86503,61,86438,4748,10534,0,11097,60,42286,13388,1588,22648,628,1,17091
1620391277859042008,VALID,FEW_MATCHES,280,0,211,60,211,2,5,67,1,302,7,18,101,3,38601,9944,2141,34,0,220,240,81971,63,81903,4219,10762,0,12500,37,38897,11691,1609,19890,632,1,16465
1620391278125797008,VALID,INVALID,283,0,189,46,189,2,5,87,1,270,4,37,115,0,44459,8535,1961,34,0,237,254,83963,64,83895,3331,9102,0,10077,64,44774,13094,1626,25856,635,1,16337
1620391278325797008,VALID,INVALID,286,0,206,62,206,2,5,56,1,289,7,40,94,0,35701,5294,1376,34,0,224,238,73894,40,73851,2665,5851,0,11324,66,36002,15113,1632,19891,478,1,13694
1620391278525806008,VALID,INVALID,298,0,207,60,207,2,5,61,1,297,4,42,102,0,41340,4663,1244,34,0,238,240,77063,28,77033,1926,5135,0,10645,63,41691,14956,1611,23979,579,1,15166
1620391278725811008,VALID,INVALID,306,0,225,75,225,2,5,45,1,291,10,47,108,0,34199,4598,1065,34,0,231,225,71017,26,70988,1903,5132,0,11901,66,34538,15001,1622,18217,472,1,13883
1620391278925827008,VALID,INVALID,298,0,191,66,191,2,5,43,1,276,1,40,106,0,42561,10512,1288,34,0,232,234,88074,79,87990,7115,11375,0,10889,69,42862,13018,1592,26373,439,1,14151
1620391279192454008,VALID,FEW_MATCHES,286,0,221,58,221,3,5,75,1,315,3,30,99,2,38038,6428,1939,34,0,228,242,77914,49,77861,4142,7010,0,11666,38,38338,12684,1608,20486,616,1,15322
1620391279392463008,VALID,FEW_MATCHES,287,0,223,61,223,4,7,69,1,312,8,23,103,3,34620,4757,1523,32,0,226,239,74476,23,74449,2246,5255,0,13236,35,34925,15415,1618,19308,570,1,13120
1620391279592468008,VALID,FEW_MATCHES,281,0,223,59,223,2,5,74,1,301,5,29,107,3,38276,5102,1652,34,0,222,241,75967,25,75940,1902,5762,0,11255,38,38567,15191,1610,22753,449,1,13459
1620391279792482008,VALID,FEW_MATCHES,307,0,210,51,210,2,5,88,1,322,5,31,105,3,40592,4871,1791,29,0,256,249,80512,31,80478,2654,5508,0,10739,32,41151,16236,1603,21611,605,1,16765
1620391279992483008,VALID,FEW_MATCHES,277,0,220,53,220,2,5,89,1,313,6,29,93,3,39992,4782,1959,33,0,224,247,79103,26,79075,1955,5295,0,11412,36,40301,15500,1630,23750,449,1,14159
1620391280192489008,VALID,VALID,303,0,215,75,215,6,9,41,1,309,10,30,91,3,43244,5947,895,38,0,228,225,79912,34,79876,1880,6508,0,11677,41,43713,13757,1641,25748,456,1,15394
1620391280392497008,VALID,VALID,287,0,237,62,237,6,9,75,1,298,6,54,101,3,42713,7092,1726,35,0,225,238,82794,28,82763,3616,7779,0,12427,37,43053,12553,1586,24620,431,1,16071
