#timestamp_kf,timestamp_query,timestamp_match,isLoop,matchKfId,queryKfId,x,y,z,qw,qx,qy,qz
1620391275792211008,0,0,0,0,0,0,0,0,1,0,0,0
1620391275992338008,0,0,0,0,0,0,0,0,1,0,0,0
1620391276192344008,0,0,0,0,0,0,0,0,1,0,0,0
1620391276392352008,0,0,0,0,0,0,0,0,1,0,0,0
1620391276592367008,0,0,0,0,0,0,0,0,1,0,0,0
1620391276792368008,0,0,0,0,0,0,0,0,1,0,0,0
1620391276992382008,0,0,0,0,0,0,0,0,1,0,0,0
1620391277192382008,0,0,0,0,0,0,0,0,1,0,0,0
1620391277392396008,0,0,0,0,0,0,0,0,1,0,0,0
1620391277659028008,0,0,0,0,0,0,0,0,1,0,0,0
1620391277859042008,0,0,0,0,0,0,0,0,1,0,0,0
1620391278125797008,0,0,0,0,0,0,0,0,1,0,0,0
1620391278325797008,0,0,0,0,0,0,0,0,1,0,0,0
1620391278525806008,0,0,0,0,0,0,0,0,1,0,0,0
1620391278725811008,0,0,0,0,0,0,0,0,1,0,0,0
1620391278925827008,0,0,0,0,0,0,0,0,1,0,0,0
1620391279192454008,0,0,0,0,0,0,0,0,1,0,0,0
1620391279392463008,0,0,0,0,0,0,0,0,1,0,0,0
1620391279592468008,0,0,0,0,0,0,0,0,1,0,0,0
1620391279792482008,0,0,0,0,0,0,0,0,1,0,0,0
1620391279992483008,0,0,0,0,0,0,0,0,1,0,0,0
1620391280192489008,0,0,0,0,0,0,0,0,1,0,0,0
1620391280392497008,0,0,0,0,0,0,0,0,1,0,0,0
1620391280592512008,0,0,0,0,0,0,0,0,1,0,0,0
1620391280792512008,0,0,0,0,0,0,0,0,1,0,0,0
1620391280992520008,0,0,0,0,0,0,0,0,1,0,0,0
1620391281192527008,0,0,0,0,0,0,0,0,1,0,0,0
1620391281392539008,0,0,0,0,0,0,0,0,1,0,0,0
1620391281592665008,0,0,0,0,0,0,0,0,1,0,0,0
1620391281792672008,0,0,0,0,0,0,0,0,1,0,0,0
1620391281992681008,0,0,0,0,0,0,0,0,1,0,0,0
1620391282192692008,0,0,0,0,0,0,0,0,1,0,0,0
1620391282392710008,0,0,0,0,0,0,0,0,1,0,0,0
1620391282659332008,0,0,0,0,0,0,0,0,1,0,0,0
1620391282859337008,0,0,0,0,0,0,0,0,1,0,0,0
1620391283059351008,0,0,0,0,0,0,0,0,1,0,0,0
1620391283325978008,0,0,0,0,0,0,0,0,1,0,0,0
1620391283526112008,0,0,0,0,0,0,0,0,1,0,0,0
1620391283726123008,0,0,0,0,0,0,0,0,1,0,0,0
1620391283926124008,0,0,0,0,0,0,0,0,1,0,0,0
1620391284126132008,0,0,0,0,0,0,0,0,1,0,0,0
1620391284326138008,0,0,0,0,0,0,0,0,1,0,0,0
1620391284526153008,0,0,0,0,0,0,0,0,1,0,0,0
1620391284726154008,0,0,0,0,0,0,0,0,1,0,0,0
1620391284926162008,0,0,0,0,0,0,0,0,1,0,0,0
1620391285126165008,0,0,0,0,0,0,0,0,1,0,0,0
1620391285326182008,0,0,0,0,0,0,0,0,1,0,0,0
1620391285526183008,0,0,0,0,0,0,0,0,1,0,0,0
1620391285726194008,0,0,0,0,0,0,0,0,1,0,0,0
1620391285926202008,0,0,0,0,0,0,0,0,1,0,0,0
1620391286126209008,0,0,0,0,0,0,0,0,1,0,0,0
1620391286326212008,0,0,0,0,0,0,0,0,1,0,0,0
1620391286526218008,0,0,0,0,0,0,0,0,1,0,0,0
1620391286726228008,0,0,0,0,0,0,0,0,1,0,0,0
1620391286926240008,0,0,0,0,0,0,0,0,1,0,0,0
1620391287192992008,0,0,0,0,0,0,0,0,1,0,0,0
1620391287393003008,0,0,0,0,0,0,0,0,1,0,0,0
1620391287593006008,0,0,0,0,0,0,0,0,1,0,0,0
1620391287793019008,0,0,0,0,0,0,0,0,1,0,0,0
1620391288059648008,0,0,0,0,0,0,0,0,1,0,0,0
1620391288259663008,0,0,0,0,0,0,0,0,1,0,0,0
1620391288459665008,0,0,0,0,0,0,0,0,1,0,0,0
1620391288659680008,0,0,0,0,0,0,0,0,1,0,0,0
1620391288859681008,0,0,0,0,0,0,0,0,1,0,0,0
1620391289059687008,0,0,0,0,0,0,0,0,1,0,0,0
1620391289259696008,0,0,0,0,0,0,0,0,1,0,0,0
1620391289459708008,0,0,0,0,0,0,0,0,1,0,0,0
1620391289659709008,0,0,0,0,0,0,0,0,1,0,0,0
1620391289859720008,0,0,0,0,0,0,0,0,1,0,0,0
1620391290059725008,0,0,0,0,0,0,0,0,1,0,0,0
1620391290259738008,0,0,0,0,0,0,0,0,1,0,0,0
1620391290526488008,0,0,0,0,0,0,0,0,1,0,0,0
1620391290726500008,0,0,0,0,0,0,0,0,1,0,0,0
1620391290926509008,0,0,0,0,0,0,0,0,1,0,0,0
1620391291193139008,0,0,0,0,0,0,0,0,1,0,0,0
1620391291393150008,0,0,0,0,0,0,0,0,1,0,0,0
1620391291593154008,0,0,0,0,0,0,0,0,1,0,0,0
1620391291793175008,0,0,0,0,0,0,0,0,1,0,0,0
1620391292059916008,0,0,0,0,0,0,0,0,1,0,0,0
1620391292259926008,0,0,0,0,0,0,0,0,1,0,0,0
1620391292459939008,0,0,0,0,0,0,0,0,1,0,0,0
1620391292659954008,0,0,0,0,0,0,0,0,1,0,0,0
1620391292926577008,0,0,0,0,0,0,0,0,1,0,0,0
1620391293126583008,0,0,0,0,0,0,0,0,1,0,0,0
1620391293326595008,0,0,0,0,0,0,0,0,1,0,0,0
1620391293593351008,0,0,0,0,0,0,0,0,1,0,0,0
1620391293793357008,0,0,0,0,0,0,0,0,1,0,0,0
1620391293993361008,0,0,0,0,0,0,0,0,1,0,0,0
1620391294193379008,0,0,0,0,0,0,0,0,1,0,0,0
1620391294393379008,0,0,0,0,0,0,0,0,1,0,0,0
1620391294593386008,0,0,0,0,0,0,0,0,1,0,0,0
1620391294793393008,0,0,0,0,0,0,0,0,1,0,0,0
1620391294993407008,0,0,0,0,0,0,0,0,1,0,0,0
1620391295193409008,0,0,0,0,0,0,0,0,1,0,0,0
1620391295393413008,0,0,0,0,0,0,0,0,1,0,0,0
1620391295593421008,0,0,0,0,0,0,0,0,1,0,0,0
1620391295793444008,0,0,0,0,0,0,0,0,1,0,0,0
1620391296060063008,0,0,0,0,0,0,0,0,1,0,0,0
1620391296260068008,0,0,0,0,0,0,0,0,1,0,0,0
1620391296460207008,0,0,0,0,0,0,0,0,1,0,0,0
1620391296660216008,0,0,0,0,0,0,0,0,1,0,0,0
1620391296860218008,0,0,0,0,0,0,0,0,1,0,0,0
1620391297060225008,0,0,0,0,0,0,0,0,1,0,0,0
1620391297260239008,0,0,0,0,0,0,0,0,1,0,0,0
1620391297460243008,0,0,0,0,0,0,0,0,1,0,0,0
1620391297660245008,0,0,0,0,0,0,0,0,1,0,0,0
1620391297860254008,0,0,0,0,0,0,0,0,1,0,0,0
1620391298060270008,0,0,0,0,0,0,0,0,1,0,0,0
1620391298260274008,0,0,0,0,0,0,0,0,1,0,0,0
1620391298460278008,0,0,0,0,0,0,0,0,1,0,0,0
1620391298660282008,0,0,0,0,0,0,0,0,1,0,0,0
1620391298860298008,0,0,0,0,0,0,0,0,1,0,0,0
1620391299060303008,0,0,0,0,0,0,0,0,1,0,0,0
1620391299260305008,0,0,0,0,0,0,0,0,1,0,0,0
1620391299460312008,0,0,0,0,0,0,0,0,1,0,0,0
1620391299660330008,0,0,0,0,0,0,0,0,1,0,0,0
1620391299860333008,0,0,0,0,0,0,0,0,1,0,0,0
1620391300060334008,0,0,0,0,0,0,0,0,1,0,0,0
1620391300260340008,0,0,0,0,0,0,0,0,1,0,0,0
1620391300460352008,0,0,0,0,0,0,0,0,1,0,0,0
1620391300660362008,0,0,0,0,0,0,0,0,1,0,0,0
1620391300860363008,0,0,0,0,0,0,0,0,1,0,0,0
1620391301060373008,0,0,0,0,0,0,0,0,1,0,0,0
1620391301260381008,0,0,0,0,0,0,0,0,1,0,0,0
1620391301460387008,0,0,0,0,0,0,0,0,1,0,0,0
1620391301660391008,0,0,0,0,0,0,0,0,1,0,0,0
1620391301860396008,0,0,0,0,0,0,0,0,1,0,0,0
1620391302060537008,0,0,0,0,0,0,0,0,1,0,0,0
1620391302260547008,0,0,0,0,0,0,0,0,1,0,0,0
1620391302460548008,0,0,0,0,0,0,0,0,1,0,0,0
1620391302660552008,0,0,0,0,0,0,0,0,1,0,0,0
1620391302860563008,0,0,0,0,0,0,0,0,1,0,0,0
1620391303060578008,0,0,0,0,0,0,0,0,1,0,0,0
1620391303327200008,0,0,0,0,0,0,0,0,1,0,0,0
1620391303527206008,0,0,0,0,0,0,0,0,1,0,0,0
1620391303727223008,0,0,0,0,0,0,0,0,1,0,0,0
