#timestamp_kf,x,y,z,qw,qx,qy,qz,vx,vy,vz
1620391275792211008,0,0,0,1,0,0,0,0,0,0
1620391275992338008,0.011166749361248258857,0.0076195780567944043637,-0.019754526128522437167,0.99926219664569604362,-0.032145145936390895347,0.020982318092363720641,-0.001222405422629392396,0.13024495999042756678,0.075597676512537792526,-0.20221671582425904123
1620391276192344008,0.097399151329819660949,0.023358812572542783648,-0.081091698890326857629,0.99667473767316294708,-0.032693169664853485856,0.074636605756889892738,3.197636062487832113e-05,0.51582677761692707907,0.13470266722983065266,-0.45048770142216942869
1620391276392352008,0.37759647247478833609,0.020452831527549418522,-0.21497694679868251111,0.99023792670974863928,-0.020054110578365647033,0.13751653069184768818,0.010764986807581960332,1.3433580122484212183,0.11083254508919383741,-0.77414964555585519257
1620391276592367008,0.68758303839382173273,0.04065438348579943767,-0.40445389367770845368,0.9885096325838638176,-0.019504572098680228454,0.14837212135090782628,0.021307077744108744027,1.8526941210429297424,0.12502767265038430833,-1.0517828336639327702
1620391276792368008,1.0777647651359028025,0.073851672914749394439,-0.63110424053941072131,0.98694789127643867133,-0.021219670055533240705,0.15634539122716628601,0.032244443703522016054,2.2776304633101851493,0.19225086513176728453,-1.355132323853881271
1620391276992382008,1.5273490840763888077,0.11682308923506083687,-0.89460451303816146407,0.98562575669493313058,-0.026145789793992412625,0.16287712954492553075,0.036459650118924054329,2.7120615460502937033,0.27555425896213525672,-1.6254264972889203023
1620391277192382008,2.0929475690816956579,0.17008399126106862886,-1.2245367033448417704,0.98531897136642443424,-0.030073680324114816786,0.16552096015906231363,0.029067338460827086416,3.2485692168582227524,0.2975087654613286503,-1.8976063672161727069
1620391277392396008,2.7303815171272756146,0.22875348976921447419,-1.5894664037294883308,0.984525580996221783,-0.032023551070176375921,0.17117531579159570021,0.01956741691065076727,3.7608776501509124657,0.35662695644016662033,-2.1384271306347133468
1620391277659028008,3.7313414731327214646,0.33007895300231437918,-2.1599705315858912513,0.98182322990783665873,-0.032242653595523321219,0.18390137414423318729,0.034115115276444160641,4.4339070479960973614,0.48264079697603773367,-2.5247387145174284839
1620391277859042008,4.5805903382626009801,0.43199248620438218671,-2.6479752837430190482,0.97888981699193911012,-0.027863282887785324055,0.1918791423496717663,0.064658784301574262487,4.9767756187504268439,0.64421561608375332852,-2.8325086317383045831
1620391278125797008,5.918417676609991851,0.625409712587855382,-3.4099660004543603797,0.97370540434377117478,-0.026695155776460078451,0.20114849211707677701,0.10355886407657173554,5.7759623228903258507,0.88039865684157714298,-3.2726222194014722433
1620391278325797008,7.0131992810236720715,0.79576806042206016389,-4.0263823991683844739,0.97128412563923538503,-0.025240309053028056607,0.20501397732110937522,0.11806499558765647107,6.3899236512496786489,1.0177279487282329118,-3.6336737026520866678
1620391278525806008,8.2216920705261866686,0.99718584400713783378,-4.7001379668091622932,0.96743428326151514884,-0.027626835655661711316,0.21470932840120704466,0.13117762697745496969,7.0318903242709049906,1.1782319584772791288,-3.9234538290681015837
1620391278725811008,9.5391309271730779784,1.2262698649205590051,-5.4349096352854200376,0.96582080022793481699,-0.026742616616147855263,0.21543835034046715515,0.14163802987253001908,7.6302207680629337005,1.3510018261329463929,-4.2369140216813248045
1620391278925827008,10.967072026788349248,1.4853362149594864228,-6.2226606378188797919,0.96257099671664336782,-0.028807173247778532221,0.2233618675423441613,0.15078693304592610813,8.2786754886659519315,1.5335514521208424288,-4.5425776164964917214
1620391279192454008,13.026596359572192085,1.8776561166329703845,-7.3542299930688983522,0.95788011556969798743,-0.029405038335636849572,0.23246292493769399323,0.1660181208364733263,9.138689311833180895,1.7588626321124700702,-5.0515051144899487667
