#timestamp_kf,x,y,z,qw,qx,qy,qz
1620391242990407008,5.8970827472782283343e-06,-1.1862533570144409741e-05,-8.9198881967005893049e-06,0.99999999335736389217,-0.00010737109755922870683,-4.1913051412822333226e-05,1.2516592881326192974e-07
1620391243257034008,2.2978022739714749759e-05,4.9138167977612243989e-06,-8.4351989454298556938e-06,0.99999999421947582956,-8.9699746670621541278e-05,-5.9267750615034660148e-05,1.528888368636458899e-06
1620391243457043008,1.3575533131047698849e-05,5.6315713219769983439e-06,-1.8089468927567866794e-05,0.9999999931451163393,-9.8602638843176928824e-05,-6.3052944406435628409e-05,-3.4078374632349926248e-06
1620391243657047008,1.0378523333572147537e-05,-1.303336603982530037e-05,8.1416757601760495139e-06,0.99999999256777538648,-0.0001059074330359773572,-5.9921574888217303166e-05,-7.5809107421201761057e-06
1620391243857063008,1.567876199929340081e-05,-5.2781866278920286183e-06,-1.2518522996194577512e-06,0.99999999216104196176,-0.00011155713157529720974,-5.616749240494002326e-05,-8.8394443759788780211e-06
1620391244123690008,5.1505585977322124674e-06,-1.1056002004200432315e-05,-8.4182275022202448253e-06,0.99999999213412649191,-0.00011195408619640344144,-5.6218730907027206396e-05,-6.1224669088079136415e-06
1620391244323820008,7.5829562003688587155e-06,-1.0806498571403369587e-05,-2.4498110414619956964e-05,0.99999999187417443203,-0.00011140796937584528635,-6.1509639568917300382e-05,-7.5153341346628551732e-06
1620391244523836008,5.0223423791188851633e-06,-1.5924677836935068298e-05,-3.6403289827296362138e-05,0.99999999185172849803,-0.00010785267662669221274,-6.8055352263212169021e-05,-5.7282122514759903025e-06
1620391244790458008,-2.4202483999899859028e-06,-2.1339291261685898839e-05,-4.1547034785747836852e-05,0.99999999211034229507,-0.0001078149664448004708,-6.4406713914143587959e-05,-2.6501242955121961436e-06
1620391244990467008,-1.4546371333490333246e-05,-1.2885042695702743278e-05,-3.1774438020163947127e-05,0.99999999188078669832,-0.00010909972123240631065,-6.5838382895157829353e-05,-9.9171278065488876789e-07
1620391245190479008,-4.2621279754316833231e-06,-3.1168137182131428376e-05,-2.9619553367414443965e-05,0.99999999136743400463,-0.00011018898579855156356,-7.1510318027840957854e-05,-3.1291266005959107239e-06
1620391245390485008,-1.6467706141948472811e-05,-4.4603806544170182243e-05,-1.6557582341594939722e-05,0.9999999913503602178,-0.00011139250367636837431,-6.9844350783588581857e-05,-3.5710504474928235929e-06
1620391245590489008,-1.9452261097532991138e-05,-5.4760559424861209575e-05,-7.2019392400746512012e-06,0.99999999170671216575,-0.00010995608870034516685,-6.6959732577587995224e-05,-3.5528741153613858872e-06
1620391245790500008,-3.6429777258138818581e-06,-4.2092967403246719124e-05,-1.244247030417521273e-05,0.99999999123078953112,-0.00011379942870123965434,-6.7502922585133091427e-05,-5.6088583556440851379e-06
1620391245990507008,-8.3488503475615830562e-06,-2.8841922975540207921e-05,-2.3956125830590879972e-05,0.9999999914659843947,-0.00011204515380607188468,-6.6872427755854913184e-05,-6.4795410331796104243e-06
1620391246190519008,1.4540555993892029127e-05,-2.5314942488801902654e-05,-6.390279641909697066e-06,0.99999999148657292558,-0.00011291663182342824014,-6.5119048843062919837e-05,-6.015610945658530687e-06
1620391246457270008,1.1249024925258165365e-05,-4.1888246713712545518e-05,-5.9300420615765532837e-06,0.99999999057698851779,-0.00011660321338791480893,-7.2264615779840405611e-05,-5.2466263655799030155e-06
1620391246657282008,1.9130241977012267941e-05,-6.7351383625480584121e-05,1.7437719096754800965e-05,0.99999999050017551738,-0.00011589339617520486177,-7.4566314854469635206e-05,-2.867268740581237986e-06
1620391246857287008,4.5647761473774238667e-05,-5.1632573369549135238e-05,1.3880319746102558071e-05,0.99999999057235433586,-0.00011657788366975170341,-7.2331221277653720992e-05,-5.7505251010657709834e-06
1620391247057302008,6.168903887214070706e-05,-3.0310038953627022566e-05,-5.3786763817781603144e-07,0.99999999125278649093,-0.00011265504753643920623,-6.9083477179994915254e-05,-5.5430083456615371858e-06
1620391247257305008,5.830069716912948853e-05,-3.9073636015798075762e-05,-6.8134947419981639005e-07,0.99999999128908934054,-0.00011092993248645958418,-7.1197104298594530601e-05,-6.8794663159253054019e-06
1620391247457310008,6.2365695007129135353e-05,-4.5190084578499192228e-05,-8.3201584063197249469e-06,0.99999999122441429744,-0.00011205264901986030615,-7.0558642861220255025e-05,-4.1030685078160856959e-06
1620391247657315008,-1.0446232675715325339e-05,-9.1691698945624210636e-05,1.9650262088146788525e-05,0.99999998318117944152,-5.8585264961350090476e-05,-5.6571857993525000304e-05,0.00016433202151801799698
1620391247857334008,-0.0029164310762594160276,-0.00098698371665845705848,0.0002959807800616833743,0.9999961403708784724,0.00061694575407386220006,0.00023475793153542525598,0.0026987978761488983989
1620391248123959008,-0.010671907307531612596,1.4559046938614162922e-05,0.00038109778215130520355,0.9999654725282347556,0.00055820192171433509563,-0.00064360151405292158767,0.0082660715620464127185
1620391248323963008,-0.012071577034932595013,0.00028829662956444512389,0.00035465251782368931513,0.99995513445441863709,0.00022186271436109970432,-0.00099655972517598322494,0.0094173628938347755946
1620391248523978008,-0.012486591008263077732,0.0014805809428399632245,4.5802125992666501472e-05,0.99995493838218585392,0.00026262467105273593288,-0.0010902164514241142069,0.0094267524327343206469
1620391248723981008,-0.01257019487616694263,0.0023697598489879115845,0.00011929141788051838993,0.99995508557410861528,0.00021879963331495371945,-0.00097468204339829530962,0.0094249114632304602929
1620391248923983008,-0.012667733233403996249,0.0022484354529541590063,6.4775760848649846404e-05,0.99995506696923519563,0.00017627375597071371976,-0.00099354714921029169822,0.0094258068172226473075
1620391249123998008,-0.012674141944069928015,0.0022223655414530057127,3.7982010415635384911e-05,0.99995502856947349191,0.00017512340784569139303,-0.00099696299076089899514,0.0094295405608497920996
1620391249324007008,-0.012671857082959273044,0.002194220450765811594,3.8239938068096641401e-05,0.99995506015180268822,0.00017701948087691480606,-0.00098965583549304289752,0.0094269253849784719057
1620391249524011008,-0.010861868937606563787,0.003055231517392429947,0.00011223934724848918002,0.99994926114246962534,0.000396852172858919508,-0.00090781157424342853735,0.010024645984123290235
1620391249724018008,0.0035336776670221396041,0.0041713238277069986451,0.00040829130179120533229,0.99994935457089451081,1.1145302244742970638e-05,-0.0008098097537223528531,0.010031569028651191391
1620391249924148008,0.032962221060653829063,0.006092613696698685917,0.0011202291240745344304,0.99993294002826738076,0.00015472263487023991653,-0.00043967295983347447512,0.011571438761062625977
1620391250124163008,0.073347604374410291239,0.010197249200493616744,0.0035089157518082216176,0.99996840007191301058,-0.0012626237363180987678,0.0024841694866888823848,0.0074453704315038549827
1620391250324163008,0.099200457280111759006,0.01097538815718969267,0.0050910890464550603157,0.99958590188478602112,-0.0027995935520125445756,0.00073331899125355477168,-0.028629517501388923595
1620391250524172008,0.12496660166988680929,0.0079965568586994953404,0.0075155288655434551032,0.99689894764230813085,-0.0018490866841857451705,0.0010555191623557648884,-0.078663555394951081845
1620391250724176008,0.15932002405200137996,0.0038259957785084664633,0.0096298863549502105447,0.9927667417893669688,-0.0017157024080573957548,0.001404867707528352494,-0.12003865672723999791
1620391250924190008,0.19939669645992991187,-0.0015384017477045762098,0.014888523829547663929,0.99025182489344820702,-0.00040748422236408905978,0.0020377022778754025518,-0.13927313100959626269
1620391251124192008,0.19728626415590597154,0.0023743939271670998561,-0.018544938408072555308,0.9905290180139522116,-0.0012390432635034764192,0.0012081422813301967087,-0.1372926423240551641
1620391251324202008,0.22373229942436395623,0.0071975977153020207627,-0.033460791634519530813,0.9906520760610298959,0.0015718971277210239124,0.00093669012009196003614,-0.13640057165201721623
1620391251524209008,0.23887205662504742976,-0.00099684827993940135216,-0.036872558621312168103,0.99062874898290309567,0.0027120183455449677068,-0.00092999572401143725843,-0.13655204778033439017
1620391251724221008,0.22406048643907805484,-0.0035529839571613605967,-0.027215868159565535095,0.99061515304191394282,0.0012538689014184344669,-0.0026264337759291872879,-0.13664972821828957894
1620391251924223008,0.22739291258107913185,0.0043910679603124591272,-0.019827745201711446943,0.99060483476791183488,0.00055262613908720298155,-0.0041539631739263126881,-0.13669125988419017492
1620391252124232008,0.2260815918095488708,-0.01945593411504167522,0.0078491192035451615161,0.99061707098866202958,-0.00012263432570664523991,-0.00085690706191487292769,-0.13666407478537762055
1620391252324236008,0.23742098887660917361,-0.01329740576127104619,-0.012956807530245056936,0.99060347000218196278,-0.0013092919474857011956,-0.0020634841701380923946,-0.13674353003817940611
1620391252524251008,0.23327158147320176118,-0.0030586889561289940659,-0.016109002712146033853,0.99060306959081878553,-0.00058963069443298122933,-0.0032305241336708810304,-0.13672883590049636493
1620391252724251008,0.23326463357349144778,-0.003052221465972816683,-0.016132295617865919507,0.99060219710778540936,-0.00061151063828471946288,-0.003229803146539172564,-0.13673507783884206179
1620391252924258008,0.23327042588481103347,-0.0030283568340221341843,-0.0161632294726788521,0.99060536502008056381,-0.00061378464077947107302,-0.0032210668567914475455,-0.13671232128138480211
1620391253124269008,0.23325250614685621997,-0.0030527956052396722567,-0.01616166542207519638,0.99060343710229403769,-0.00062196504641645524586,-0.0032238259229242522547,-0.13672618808046602124
1620391253324281008,0.2332153762539478925,-0.0030180586066887822236,-0.016207926751973914664,0.99060443097261607903,-0.00062881215851027171763,-0.0032148485279445866702,-0.13671916720645310717
1620391253591032008,0.23321064765594676227,-0.0030142550667207400165,-0.016198148374848984204,0.99060974473726992606,-0.00064914461321636900398,-0.0032072511595472724677,-0.13668074400890348197
1620391253791038008,0.2332247779121631448,-0.0030293186011411611831,-0.01619143229221917113,0.99061144173204529473,-0.00065648848034791421578,-0.0032112721831857519821,-0.13666831477484564505
1620391253991042008,0.23321467064881329367,-0.0030233997202656417991,-0.016277052437761181658,0.99061153571242543947,-0.00069213059773462893946,-0.0031957525981380122647,-0.13666782150175418864
1620391254191058008,0.23320392746248100324,-0.0029306542375883352751,-0.016321876332428948003,0.99061233341065668689,-0.00066304418706411799665,-0.0031810110929575839862,-0.13666252754696769922
1620391254457688008,0.2332072481191029556,-0.0029430362281556241705,-0.016276217463652910278,0.99061294864392657189,-0.00066169089900051274774,-0.0031924844134320205964,-0.13665780690253395702
1620391254657694008,0.23318180979232222549,-0.0029260321837144848828,-0.016307058124905723928,0.99061260212227197908,-0.00066213528332936648097,-0.0031858739247381004205,-0.136660470878545659
1620391254857704008,0.23319048356804478184,-0.002956826609689095723,-0.016300631921200330748,0.99061242837893981328,-0.00067850859943700261509,-0.0031865413560855319203,-0.13666163441672321555
1620391255057716008,0.23318840905439314204,-0.0029193081872977465555,-0.016314117097875443368,0.99061225768132354919,-0.00067312604347858088962,-0.0031873433098340750967,-0.1366628796545395208
1620391255257719008,0.2331943930045565494,-0.0029301958481222920364,-0.016304513381797676452,0.99061252617614059535,-0.00066320651916617994175,-0.0031892230904622884124,-0.13666093807713980413
1620391255457727008,0.23318491199507349054,-0.0029361942852153036752,-0.01632173065651704863,0.99061153018185066355,-0.00067440570495564365616,-0.003189239852722903102,-0.13666810233879295167
1620391255657732008,0.2331849010745881412,-0.0029486583373337640554,-0.01632803346454889809,0.9906111408712644506,-0.00067987200087943604893,-0.0031911435534533057722,-0.13667085263004535856
1620391255857744008,0.2331508430021295708,-0.0029286861844411800002,-0.016370528521662992827,0.99061045615952258991,-0.00068161600484373263426,-0.003177860261952833356,-0.13667611624277412052
1620391256057744008,0.23313762124448353386,-0.0028942345307345187025,-0.016408220696163784008,0.99061109253539869623,-0.00067879245877651493528,-0.0031667835709652605858,-0.13667177495168691959
1620391256257751008,0.23312103461262714821,-0.002882524683097593271,-0.016417742390301939132,0.99060949757416028039,-0.00066639625217807159103,-0.0031641552671531902874,-0.13668345676547011269
1620391256457761008,0.23308943134497628336,-0.0028984342431648108494,-0.016423153817044493924,0.99060820401311833194,-0.00066283589716570096191,-0.0031630521871850001032,-0.13669287432542426286
1620391256657769008,0.23305708887145168418,-0.0028344395564721056036,-0.016481229964237099905,0.99060933654522231873,-0.00066316053841081472504,-0.0031510561648838888299,-0.13668494215745913278
1620391256857773008,0.23304891601047034166,-0.0028366793437448094631,-0.016494121760325941572,0.99060806789455846388,-0.00066228373849520265435,-0.0031470016141471393589,-0.1366942339065805867
1620391257057781008,0.23306213727801314284,-0.0029001399498174746001,-0.016482238735994702433,0.99060683281501238362,-0.00067170830992510849929,-0.0031529353235120157264,-0.13670300138258961731
1620391257257786008,0.23303759115172378857,-0.002898941315411019716,-0.016514715318301245728,0.99060592077347209283,-0.00069368356590898585644,-0.0031479167800365424716,-0.13670961616361559932
1620391257457922008,0.2330301867065592003,-0.0028909319035657753821,-0.016554133318567438443,0.99060767359020729383,-0.00070562498886101235329,-0.0031439833502407052955,-0.13669694395365952766
1620391257657931008,0.23302913712814224412,-0.0028808337748760766764,-0.016556641572027141346,0.99060724170157599122,-0.00070357044881528944553,-0.00314188782509117236,-0.13670013247219911512
1620391257857931008,0.23300876350265023462,-0.0028744006912191340589,-0.016559157438227060238,0.99060714812720984668,-0.00070155166468059584721,-0.0031383924492176264696,-0.13670090123102751622
1620391258057940008,0.23300902739144829789,-0.002927332969544360966,-0.016552402226671338731,0.9906049098418751031,-0.00070821710063057345327,-0.0031410015784128350255,-0.13671702576780631055
1620391258257952008,0.23362101143481309173,-0.0028638950567750820139,-0.01675788844629549218,0.990563376801062212,-0.00086044356538713285144,-0.0033386614459464643637,-0.13701207799715323099
1620391258524581008,0.25263187902903744275,-0.0084744621669390236829,-0.015455957176941044484,0.99072101416033464538,-0.00030495334202668481199,-0.0026260776086399640478,-0.13588555044952652096
1620391258724589008,0.28449884366834321536,-0.015438039814345178719,-0.014263249687822434839,0.99100755603123746873,-0.0011060280412484890019,-0.0037464361743122956243,-0.1337488871241827304
1620391258924600008,0.33135568909346690969,-0.026848866984172520267,-0.012629103242337590129,0.99127683918578024524,-0.0013084605829873732254,-0.0032866604230793383321,-0.13174867698771930424
1620391259124604008,0.3918123788464421553,-0.042633495387148570566,-0.009917177039900084215,0.99138165627667562685,-0.00044197678147165953043,-0.003412609889044942741,-0.13096018611923559982
1620391259324609008,0.46626207657383356153,-0.061599158762959155267,-0.0068468600612522946547,0.99170671165819868076,-0.0010287762897059691929,-0.0024946005601826359843,-0.12849325522949797684
1620391259524616008,0.55456035863032515643,-0.084667486241275291547,-0.0031038221684473693389,0.99190559419691959331,-0.00017594959382164707942,-0.0018467389137532539464,-0.12696397440998946626
1620391259724630008,0.65805382746580232123,-0.11087718339376884114,0.0028922958453235195382,0.99192589205211989523,-0.0015538551435135266199,0.00065417895451828813724,-0.12680765852539960248
1620391259991386008,0.82060693046250232641,-0.15281184235918843228,0.0094586607981397650274,0.99190280705040123621,-0.0021323890867023290695,-0.0008683048726766585566,-0.12697842465932987488
1620391260191398008,0.94515077677384096155,-0.18375921674715581244,0.013247431175338409207,0.99031474602870517288,-0.0034363925860939168073,-0.0006161272742110705759,-0.13879666923697031589
1620391260391406008,1.0574629332966372086,-0.21818505960474449124,0.015802506815395737927,0.98361861216934476371,-0.004941907070293420981,-0.00051416238040298111595,-0.18019361527425645231
1620391260591414008,1.1527378350126722406,-0.26243461158223607699,0.016222203222151829194,0.96869055024356742756,-0.0033261154529534821614,-0.0024118849889622883537,-0.24823726077204283369
1620391260791414008,1.2294928735743666515,-0.32085198369744361013,0.017026768331435189474,0.95594521382420061251,-0.00098019713254303831966,-0.00049886415854084008303,-0.29354307778371224735
1620391260991423008,1.3006657829344174804,-0.34892696879666951215,-0.0030453439674775206747,0.95773784393949334959,0.00053925187069631455843,-0.0012105800543425839812,-0.28763947223821884069
1620391261191430008,1.3509380430243695947,-0.37945357843601351666,-0.0092105903949276767689,0.9645563792615656773,0.0033284740199862722886,-0.0018889916943198384065,-0.26384909360635322439
1620391261391444008,1.4220267504385553092,-0.39282137279162177013,-0.03388810384886260102,0.97029830044897535934,0.0026041224012716759906,-0.0040468160270620244512,-0.2418637012294116706
1620391261591465008,1.6496959439383991342,-0.3588724152662455813,-0.17777745827768770548,0.97517560106429856948,0.0015137043239415056122,-0.0042926877113580565529,-0.22138615272937420264
1620391261858079008,1.7784295112751860035,-0.38264711598643552648,-0.26904732744897502661,0.98137259668038911986,0.0021556011414062960056,-0.0042035389109280696732,-0.19205600779233805708
1620391262058089008,1.9027501785510980703,-0.4275868597065908272,-0.30404707916217105224,0.98501935144882213358,0.0013654779516331354977,-0.0035555120013048345344,-0.17240177225223107804
1620391262258101008,2.0878984478887230303,-0.48260128027457144251,-0.36369647082202261057,0.98823231318617132946,7.2709382753537548359e-05,-0.0033064845918197379067,-0.15292467769360995611
1620391262524864008,2.3278635600129082839,-0.54983919179059403959,-0.44846855056968476516,0.99252384300430929187,0.0022629845700325701939,-0.0048100819073804762169,-0.12193507731917442583
1620391262724866008,2.5041126118390857336,-0.56422431332376998814,-0.48916787656510762883,0.99183469007214553059,0.0030373327116015353018,-0.0066424535275402098525,-0.12732085450003857718
1620391262924872008,2.6753264602884874179,-0.58910571891752405715,-0.54594972237712602325,0.98747607123903646809,0.0066414922368396240096,-0.0099939966534160467465,-0.15731185378753920201
1620391263124878008,2.8316828859471763202,-0.61562872575962090949,-0.60202456183969399461,0.98107349387595721435,0.005925365574842813253,-0.0085213467569793914513,-0.19335737975642111608
1620391263324879008,3.2229036678763076651,-0.65748510216574551634,-0.66290488830015159571,0.97357198902312547251,0.0050224237616716613242,0.0037678289121140942988,-0.2282940229493479467
1620391263524885008,3.0784373336375088215,-0.72788035847033416559,-0.72672349113435030787,0.97023159970951755593,0.0037047651112772864851,0.0075050696673939478951,-0.24203427767542229354
1620391263724901008,3.5429679220149017382,-0.85585796821607873497,-0.79853911169210667342,0.97410972964217679149,0.0034942006746606240654,0.0072506439650162563329,-0.22593240878673978567
1620391263924931008,3.5103195473066772792,-0.89305538240630166769,-0.80925819789766428869,0.97974705114767701719,0.0027782021491554930934,0.0041835454361031356937,-0.20017616068810450969
1620391264191535008,3.7931717548902179615,-0.98265565029411583442,-0.93754713316070892315,0.98576144575212687471,0.001823877838741992316,0.0061959497808311159855,-0.16802575916988540805
1620391264391546008,3.7758377561055724847,-0.90527300619307615737,-0.9247919123889332127,0.98886330489604468141,0.0023227848207968892699,0.0031598364100502060979,-0.14877494525157042293
1620391264591556008,4.3639382796223973315,-0.99783524837675185992,-1.0433220463515975318,0.99040904378728833457,0.0064155875204310796808,-6.2314702485716007426e-06,-0.13801726769605329737
1620391264791687008,4.3623361547945869177,-1.1380255503682961127,-1.1850871667617082217,0.99076090200959365806,0.0083819747467235704991,-0.002652345580604601686,-0.13533492753684026044
1620391264991690008,4.6752470630688254261,-1.2100686142881873497,-1.2830460837418984354,0.99077443008491539178,0.020961669498290837893,-0.0097147764503519810214,-0.13353748619872743419
1620391265191695008,4.5729853192076088675,-1.4618637524464270783,-1.5484153728377574311,0.98804204711882714918,0.01929035485328346039,-0.012435599781940713873,-0.15246688556187057428
1620391265391710008,5.0124329815626866846,-1.5947103558200479423,-1.7015375454521384224,0.98672816394716389432,0.025270723554586989323,-0.0072152036580095686019,-0.16024001323222114568
1620391265591710008,5.1184697802906589104,-1.63704300706570538,-1.7516829096684118916,0.98351673574556230939,0.029449247139230281395,0.0015235029586808204217,-0.17839633205328184196
1620391265791725008,5.4028478343779067217,-1.743146375263244785,-1.875956546248114476,0.98341835954977219192,0.031352438180824275527,0.0045686326875013167151,-0.17856226453515772201
1620391265991728008,5.6910247891154774891,-1.8702325040334750739,-2.034363172084512783,0.98518159690339168755,0.032192829917451405708,0.0010042225027670846193,-0.16846315431559405473
1620391266191739008,5.7829281142627300127,-1.8817665508732923652,-2.0702236323706544319,0.98718845202456129151,0.031830999319754499366,0.0018534715306683345604,-0.15634037327238245463
1620391266391740008,6.0777145265731391532,-1.9772587973209920786,-2.2169402767562274015,0.98596825512357899601,0.032876863752746510183,0.00071655299766574794083,-0.16366184121583590705
1620391266591752008,5.9813100844086450891,-1.9699330098430187785,-2.2386312905854186539,0.98146144646709709836,0.03081373297454896229,-0.00018927138510124082442,-0.18916634778743751655
1620391266791753008,6.0357306917933586377,-1.9848053629047712754,-2.273321885229852235,0.97464822617839319552,0.029445408336818128248,0.0044128426634459753941,-0.22175285782786768873
1620391266991775008,6.5594060916742709111,-2.2791575417384137836,-2.6053184575395587075,0.97166492074604504658,0.035161655328900469353,0.0038193921280353752834,-0.23370141640541244876
1620391267258399008,6.5116873985632759414,-2.1907019495990813773,-2.5478823724389543237,0.97736901895758143688,0.034881614369029458056,-0.0029543575985344658168,-0.20862489192830391271
1620391267458402008,5.714543580607911899,-2.2414970235791655817,-2.3392942866220738374,0.98432193262828993063,0.028997594607928060123,-0.0010203946485308555258,-0.17397824935501648991
1620391267658409008,6.0935771884761278372,-2.2887375240753446981,-2.4899657267164041485,0.98694105957162137077,0.036045774220653602204,-0.0016135145778102884685,-0.15698867367807078921
1620391267858421008,6.3470406553695708496,-2.379002399212418517,-2.6385181865482860708,0.9867891335116473206,0.03371350597058969667,-0.0027316090244591064752,-0.15843971664533790245
1620391268058424008,6.5199564016082947049,-2.426540838816303669,-2.751798328887783196,0.9854570614758909608,0.028200917513335269082,0.00063867582201641425344,-0.16756694283753378882
1620391268258432008,6.6704100093348959177,-2.4889824046900592691,-2.8688362251368957345,0.98409155757513144813,0.03155478809176179289,-3.0737553250970481951e-05,-0.1748373550276188515
1620391268458442008,6.8141756548061707122,-2.5443144473134484684,-2.9794841778025107359,0.98323011378547120476,0.027270849895219460846,0.0073336212509959421493,-0.1801695370776197902
1620391268658578008,6.9576125453394697118,-2.6057072575628876798,-3.0930899089475945019,0.97807343950043035274,0.023519987134881611968,-0.0027054321501783027554,-0.20691021672664999809
1620391268858579008,7.0972111509171496024,-2.6682582115156696645,-3.204360048785225068,0.97000581257751328224,0.015821353674298842262,0.018912698073806723242,-0.24182786891782279137
1620391269058587008,7.2374716346922260968,-2.7487243951122084518,-3.3207338262520136318,0.9639141895807675775,0.0084328982287046397315,0.016872160202730017431,-0.26554406708195482656
1620391269258591008,7.3769612440598280045,-2.8399455990454862686,-3.4413560937704872345,0.9613492104725186449,0.0077844611528711119344,0.017076542924715918531,-0.27469162595569085461
1620391269458604008,7.4856995888219461932,-2.9152434796433919217,-3.5662913536747109511,0.96588411539239582559,0.0053465310594174707964,0.0095299094578261290406,-0.25874402614171071457
1620391269658608008,7.5610127330482903574,-2.9633213513862624033,-3.6897355890552026025,0.97783676915401296359,0.0052038472875682636326,0.0040075869030712736249,-0.20926564962048002649
