#timestamp_kf,x,y,z,qw,qx,qy,qz,vx,vy,vz
1620391242790392008,0,0,0,1,0,0,0,0,0,0
1620391242990407008,2.4110235313868757308e-05,-5.8407406186376415748e-05,-2.7786124795274477718e-05,0.99999999260890826136,0.00010643052670920814524,4.0952435071272638863e-05,4.2161885257181041945e-05,0.00022257073860146585516,-0.00056911533706442002378,-0.00020534692946993238498
1620391243257034008,7.5797766455660433682e-05,2.7622080399657364413e-05,-7.9122253911937322316e-06,0.99999999711993714513,-7.3681907057679632707e-05,1.3418165098335829867e-06,-1.8146671922297432912e-05,0.0004253130762279518735,0.00013163729958663508159,3.5597563436150771269e-06
1620391243457043008,-2.2309118754662014318e-05,8.664877879418982041e-06,-6.2452058202566190944e-06,0.99999998546380164388,-0.0001345163166788731178,-8.172235769151522933e-05,-6.5568386945578707443e-05,-0.00036129351859553001563,6.5739328675426707271e-05,0.00011678384783772673865
1620391243657047008,1.7267967850866483938e-05,2.1919744850468546673e-05,-1.151768922549400576e-05,0.99999998815915014383,-0.00012830595076740951678,-3.7341097697192885741e-05,-7.632119772548013009e-05,9.0781376353341703767e-05,0.00038337967499589347894,-0.00020677247501585253094
1620391243857063008,-4.4893633095525801009e-06,-4.2564808251023436396e-06,-4.7287950339566708013e-06,0.9999999883461571093,-0.00014480326772091224141,-3.513976969501017805e-05,-3.3239973585645071091e-05,-0.00018782847385715009713,3.6918852492885929439e-05,-3.2750113896704272814e-05
1620391244123690008,1.0087486596714100929e-05,-2.8437324009106548052e-05,3.4822117444028582328e-05,0.99999999461980459969,-9.158625969604865572e-05,-3.3133193421464631877e-05,-3.5700691588829099358e-05,6.1196025019357694515e-05,-0.00015112923669423025154,0.00034290849467975262257
1620391244323820008,3.2841785976496410771e-05,-1.7403957053899800242e-05,1.7310846103519941412e-05,0.99999998939529899378,-0.00010224432346312364189,-9.9567020699433422966e-05,-2.9015661072765572205e-05,0.00021610075897945561297,-7.1783922326471613206e-05,0.00041458743771362858727
1620391244523836008,4.084866613783210928e-05,2.3894500995748046133e-05,-8.7736645997455698048e-05,0.99999998827198832707,-7.8901529758666563035e-05,-0.00012893472058221689736,2.4625384297657815794e-05,0.00031747476633682168105,0.00038333945214577363168,-0.00051804317023091512543
1620391244790458008,-8.2925748560918732116e-05,-6.4247909954625901188e-05,-4.7182861970613751684e-05,0.999999985517958212,-0.00014285415080814687933,-8.6891490231972358686e-05,-3.1727649917620632711e-05,-0.00063169491305755331133,-0.00030030208370669978727,-4.1507449713686599265e-05
1620391244990467008,1.7593815750029540029e-05,-3.3112371186901789653e-05,-3.5299688398906877329e-05,0.99999999024393859681,-0.00011671028733759375375,-7.3782133681521967186e-05,2.1143036925600964643e-05,0.00031303107461307799622,-0.00019517483352644545477,-3.7457387629828060882e-05
1620391245190479008,-7.4082617068360154147e-05,-2.4696867369210542245e-05,-5.4023783081707518272e-05,0.99999998336303874691,-0.00012172161740519947092,-0.00013157991572693386487,-3.3830391529057628512e-05,-0.00076380011382399279167,7.9998359084322527156e-05,-0.00025062530739838087242
1620391245390485008,7.3404348201068080493e-06,-2.4958374621981053814e-05,2.1580653680293013696e-05,0.99999998888923780083,-0.00013149184670621809671,-6.9465817775812128097e-05,-1.0291649222252233602e-05,0.00024520514433628274762,0.0002164779961556786102,0.00038145540490238955683
