#timestamp_lkf,x,y,z,qw,qx,qy,qz
1620391242990407008,0,0,0,1,0,0,0
1620391243257034008,0,0,0,1,0,0,0
1620391243457043008,0,0,0,1,0,0,0
1620391243657047008,0,0,0,1,0,0,0
1620391243857063008,0,0,0,1,0,0,0
1620391244123690008,0,0,0,1,0,0,0
1620391244323820008,0,0,0,1,0,0,0
1620391244523836008,0,0,0,1,0,0,0
1620391244790458008,0,0,0,1,0,0,0
1620391244990467008,0,0,0,1,0,0,0
1620391245190479008,0,0,0,1,0,0,0
1620391245390485008,0,0,0,1,0,0,0
1620391245590489008,0,0,0,1,0,0,0
1620391245790500008,0,0,0,1,0,0,0
1620391245990507008,0,0,0,1,0,0,0
1620391246190519008,0,0,0,1,0,0,0
1620391246457270008,0,0,0,1,0,0,0
1620391246657282008,0,0,0,1,0,0,0
1620391246857287008,0,0,0,1,0,0,0
1620391247057302008,0,0,0,1,0,0,0
1620391247257305008,0,0,0,1,0,0,0
1620391247457310008,0,0,0,1,0,0,0
1620391247657315008,-0.94036215959461844083,-0.22312048681092763736,-0.2567805622857772252,0.9999999837577635553,1.4059651279570913141e-05,-4.8911197379783510691e-05,0.00017289964605628061595
1620391247857334008,-0.79630404895829487444,-0.45535951301703075922,-0.39818033040008160572,0.99999651794759958356,0.00027864443127714630345,-0.00062503059121298877327,0.0025486832897052627556
1620391248123959008,-0.75125330438462012417,-0.65994517440918876172,0.0095309718924241147026,0.99998411503075612661,-0.00092936732363684730965,0.00014556623516623942282,0.0055574070211247827977
1620391248323963008,0.82809760297352641434,-0.33997460362152148727,0.44572595711029533438,0.99999922118516493263,-0.00039077665358676740362,0.0003155322817733024858,0.0011425243295557631178
1620391248523978008,0.82809760297352641434,-0.33997460362152148727,0.44572595711029533438,0.99999922118516493263,-0.00039077665358676740362,0.0003155322817733024858,0.0011425243295557631178
1620391248723981008,0.82809760297352641434,-0.33997460362152148727,0.44572595711029533438,0.99999922118516493263,-0.00039077665358676740362,0.0003155322817733024858,0.0011425243295557631178
