#timestamp_lkf,x,y,z,qw,qx,qy,qz
1620391242990407008,0.0019458655504471799886,-0.00050070561291421563505,0.0012402398263705539851,0.9999998352168026905,-0.00029740907289387160089,-0.00033072100431201409106,-0.00036295677740514991055
1620391243257034008,0.0015851222062986118806,0.00049866536993102008549,0.0014907454113841755571,0.99999997911856497446,9.9952193210748718332e-05,-0.00017334477891756751603,4.151879540455782235e-05
1620391243457043008,-0.00010936047045298658172,9.1351919248171546857e-05,6.4837528566122216013e-05,0.99999999671486716757,-1.6200190441681504363e-06,2.8513423513948719771e-05,-7.5857892228216130029e-05
1620391243657047008,0.00029341349979807127436,0.0002092687377620587499,0.00019000123244227489958,0.99999999472885514606,2.0307271660343587539e-05,4.1499562378215160347e-05,-9.1692337912561202445e-05
1620391243857063008,-0.0006399717284249679429,0.00011920940691410063033,-0.00031315459987659382364,0.99999999764798286339,3.0352810055637341366e-05,4.5461050312976662192e-05,-4.1422554146204052709e-05
1620391244123690008,-5.2136883725353559845e-05,0.00018378903360007116928,0.00024454716182667561022,0.99999999898647051744,2.9527379514400476751e-05,-1.0748768596139842083e-05,-3.2240515575664548337e-05
1620391244323820008,-5.2136883725353559845e-05,0.00018378903360007116928,0.00024454716182667561022,0.99999999898647051744,2.9527379514400476751e-05,-1.0748768596139842083e-05,-3.2240515575664548337e-05
1620391244523836008,0.00011748165752110167523,-0.00017943655280371929861,-6.3105704876772415182e-05,0.99999999635768621609,-7.26726064045343323e-05,-3.4589981198065123064e-05,2.8401531396127728182e-05
1620391244790458008,-7.7404449054598945326e-05,-3.9332690512597034385e-05,4.6371302731381799293e-05,0.9999999989033885317,-2.885829693494666647e-05,2.9550193333036991474e-05,-2.2068117108252687192e-05
1620391244990467008,-7.7404449054598945326e-05,-3.9332690512597034385e-05,4.6371302731381799293e-05,0.9999999989033885317,-2.885829693494666647e-05,2.9550193333036991474e-05,-2.2068117108252687192e-05
1620391245190479008,-1.5567956511543990146e-05,-0.00021505242641143450981,-0.00046557234388855032016,0.9999999972241754298,-6.6155707179088121838e-05,1.1925421400791626735e-05,-3.2134869146851509619e-05
1620391245390485008,-0.00025432660097536265902,-8.8339050376711383676e-05,-0.00031757030207404496032,0.99999999969878017314,-3.3601511640679196704e-06,2.2137933024827179964e-05,-1.0042659690247859308e-05
1620391245590489008,0.0013856124633206650786,0.00011578185134031310092,0.0019192846811225488211,0.99999999950897633383,2.8707168627217405404e-05,-1.2535450909990272355e-05,7.7597966681955625417e-07
1620391245790500008,-0.00021156817878318758615,0.00015177674000272902083,-8.8113037841434085966e-06,0.99999999811756168366,-3.5855005707632871916e-06,4.5704005126454749959e-05,-4.0779391831600345726e-05
1620391245990507008,-0.00021156817878318758615,0.00015177674000272902083,-8.8113037841434085966e-06,0.99999999811756168366,-3.5855005707632871916e-06,4.5704005126454749959e-05,-4.0779391831600345726e-05
