#timestamp,x,y,z,qw,qx,qy,qz,vx,vy,vz,bgx,bgy,bgz,bax,bay,baz
1620391242790392008,0,0,0,1,0,0,0,0,0,0,0.0023504149266170915392,-0.0038211727078793131761,-0.0044021681052901859982,-0.0066275161589444738647,-0.20191878620470532502,0.0011016351739563390311
1620391242990407008,5.8970827472782283343e-06,-1.1862533570144409741e-05,-8.9198881967005893049e-06,0.99999999335736389217,-0.00010737109755922870683,-4.1913051412822333226e-05,1.2516592881326192974e-07,-5.3340140124551096296e-07,1.0996892141261569581e-06,2.364198936363292973e-07,0.0035067751495796092853,-0.0033762373880376526057,-0.003944108285856873751,-0.0066251996551674368144,-0.20192620968963190253,1.109903386239691897e-05
1620391243257034008,2.2978022739714749759e-05,4.9138167977612210108e-06,-8.4351989454298556938e-06,0.99999999421947582956,-8.9699746670621541278e-05,-5.9267750615034660148e-05,1.5288883686364586873e-06,1.3011862311105009283e-05,8.2274978877641398271e-06,1.2188969436545547858e-07,0.0036752117985424824151,-0.0031584766715356247559,-0.0040358099644235076453,-0.0060049675355788416364,-0.20152486894890730973,2.4032975185853770457e-05
1620391243457043008,1.3575533131047695461e-05,5.6315713219769941087e-06,-1.8089468927567866794e-05,0.99999999314511622828,-9.8602638843176915271e-05,-6.3052944406435628409e-05,-3.4078374632349926248e-06,-2.5253095868673389006e-05,-4.1708305686138946212e-08,1.0255124647048951322e-05,0.0035396145916349493199,-0.0032274260618890531632,-0.0042389707015209237076,-0.0072591098634612379742,-0.20163741428756304375,0.00049317904884042297348
1620391243657047008,1.0378523333572144149e-05,-1.3033366039825290206e-05,8.1416757601760342673e-06,0.99999999256777516443,-0.00010590743303597730299,-5.9921574888217309942e-05,-7.5809107421201744117e-06,5.3559773703937431756e-06,3.1757467971330998868e-05,-2.0475625152017171756e-05,0.003468313932420790096,-0.0031663290283133254874,-0.0044119390681889867137,-0.0071786067349266964588,-0.20040203802647205134,-0.00029704970427272766893
1620391243857063008,1.5678761999293397422e-05,-5.2781866278920260772e-06,-1.2518522996194632569e-06,0.99999999216104173971,-0.00011155713157529711487,-5.6167492404940009708e-05,-8.839444375978876327e-06,-1.9723686266923687403e-05,-1.395882870367690608e-06,-2.011554147061203363e-06,0.0033928153847269273795,-0.0031187005774800801057,-0.004461835923676123368,-0.0081543548728306158857,-0.20066283615786650874,-0.0004242914590969109126
1620391244123690008,5.1505585977322116203e-06,-1.1056002004200425539e-05,-8.4182275022202414372e-06,0.99999999213412615884,-0.00011195408619640334657,-5.621873090702719962e-05,-6.1224669088079136415e-06,2.7687995542982626819e-06,-6.2075577843932890857e-06,2.0923265261714018431e-05,0.003429042786379783974,-0.0030770741934376217783,-0.0045104064743582659991,-0.0082534637440966514277,-0.20088942789169864089,0.00068275892719009433941
1620391244323820008,7.5829562003688570214e-06,-1.0806498571403364505e-05,-2.4498110414619929859e-05,0.99999999187417409896,-0.00011140796937584516437,-6.1509639568917273277e-05,-7.5153341346628551732e-06,2.0458357848535688259e-05,-5.0436472400614858333e-06,3.4904576789698783454e-05,0.0034421252875673344004,-0.0031347166147142079863,-0.004541114699952514093,-0.0068844518959133294,-0.20105263198176342998,0.0023431224955841132435
1620391244523836008,5.0223423791188851633e-06,-1.592467783693506491e-05,-3.640328982729632148e-05,0.99999999185172827598,-0.00010785267662669214498,-6.8055352263212128363e-05,-5.7282122514759911496e-06,3.3022405920096753462e-05,3.6260324552548934152e-05,-4.3798981047180399195e-05,0.0034803690534694884696,-0.0032146483617662129778,-0.0045027053940311619409,-0.0048514657321806226725,-0.19919453535695078039,0.00035033377399856444057
1620391244790458008,-2.4202483999899833617e-06,-2.1339291261685898839e-05,-4.1547034785747789418e-05,0.99999999211034229507,-0.0001078149664448004708,-6.4406713914143587959e-05,-2.6501242955121974141e-06,-3.261856437633157621e-05,-1.8674455790743517501e-05,-1.6346926554108363156e-06,0.0034380167110599443338,-0.0032382372724702509353,-0.0045344946366993356401,-0.0065334167384930447176,-0.20061478324470780055,0.00021812519711054005112
1620391244990467008,-1.454637133349032647e-05,-1.2885042695702722949e-05,-3.1774438020163886141e-05,0.99999999188078703138,-0.00010909972123240643262,-6.5838382895157842906e-05,-9.917127806548902502e-07,2.6737540822829375994e-05,-1.6963136592702636723e-05,-3.9318365503296931886e-06,0.0034299698633513710233,-0.0032466204268995126764,-0.0045123883144222529801,-0.0051630598798414993611,-0.20150536441648708719,6.7310249178681897135e-05
1620391245190479008,-4.2621279754316782409e-06,-3.1168137182131489362e-05,-2.961955336741437959e-05,0.99999999136743478179,-0.00011018898579855183461,-7.1510318027841012064e-05,-3.1291266005959166531e-06,-6.3293102383720823735e-05,7.8970335783638129223e-06,-2.2154449862954239204e-05,0.0034191250493113309154,-0.0033033953877141765051,-0.0045404992245480380736,-0.0072821116030533155836,-0.20135815662905176548,-0.00089856801229272714564
1620391245390485008,-1.6467706141948472811e-05,-4.4603806544170338097e-05,-1.655758234159481775e-05,0.99999999135036177211,-0.00011139250367636882155,-6.9844350783588649619e-05,-3.5710504474928324867e-06,2.2757657027082275588e-05,1.8985419225711066497e-05,3.2538254503110405295e-05,0.0034019844477820482438,-0.0033015503439323135026,-0.0045462127235997851216,-0.0063412099308684374485,-0.20081311317082395362,0.00056303480374833981929
1620391245590489008,-1.9452261097532994526e-05,-5.4760559424861460296e-05,-7.201939240074464854e-06,0.99999999170671449722,-0.00010995608870034585803,-6.6959732577588117197e-05,-3.5528741153613985927e-06,2.266914443687251951e-05,1.4324908895620899323e-06,4.3331858512331126749e-06,0.0034128152196010955871,-0.0032802826735832788137,-0.0045457218096118367362,-0.0056383073833976057182,-0.200657769174689804,0.00079056467519855624752
1620391245790500008,-3.6429777258138581412e-06,-4.2092967403246800439e-05,-1.2442470304175078899e-05,0.99999999123079275076,-0.00011379942870124063012,-6.750292258513326761e-05,-5.60885835564411309e-06,1.3696499109264198167e-05,2.5144229896641439193e-05,-3.680150841177780161e-07,0.0033797793527968597246,-0.0032839619391287922651,-0.0045737847643631352954,-0.0049253541899263401233,-0.19998562152368634659,0.00075206930290808030395
