#timestamp_lkf,mono_status,stereo_status,nr_keypoints,nrDetectedFeatures,nrTrackerFeatures,nrMonoInliers,nrMonoPutatives,nrStereoInliers,nrStereoPutatives,monoRansacIters,stereoRansacIters,nrValidRKP,nrNoLeftRectRKP,nrNoRightRectRKP,nrNoDepthRKP,nrFailedArunRKP,featureDetectionTime,featureTrackingTime,monoRansacTime,stereoRansacTime,featureSelectionTime,extracted_corners,need_n_corners,frontEndTotalSpinTime,full_preint_duration,Tracking_processStereoFrame_time,clone_rect_params_time_,feature_tracking_time_,some_between_definition_time_,sparse_stereo_time_,outlierRejectionStereo_time_,feature_detection_in_Traking_processStereoFrame_time_,sparseStereoMatching_time_,Feature_Detection_First_Part_,Feature_Detection_Second_Part_,Feature_Detection_Third_Part_,Feature_Detection_Fourth_Part_,Feature_Detection_Fifth_Part_,
1620391242990407008,LOW_DISPARITY,VALID,311,0,300,194,300,12,12,10,1,37,309,63,8,0,22164,3465,273,50,0,117,106,32311,18,32291,1110,3736,0,2618,57,22269,1315,1006,17221,150,0,3784
1620391243257034008,LOW_DISPARITY,VALID,302,0,310,285,310,22,22,3,1,30,259,34,4,0,20517,8725,313,93,0,17,15,38245,92,38149,2196,9380,0,4474,97,20544,583,1877,17961,150,0,528
1620391243457043008,LOW_DISPARITY,VALID,300,0,302,259,302,10,10,4,1,32,283,25,3,0,14594,3327,143,39,0,41,41,22362,17,22343,689,3742,0,1887,42,14638,663,1004,12226,145,0,1216
1620391243657047008,LOW_DISPARITY,VALID,297,0,300,273,300,8,8,4,1,18,283,19,4,0,15187,2761,138,36,0,24,27,21480,17,21462,705,3047,0,1271,37,15215,566,1034,13225,148,0,777
1620391243857063008,LOW_DISPARITY,VALID,299,0,297,282,297,8,8,3,1,13,282,16,3,0,17122,2829,123,35,0,17,18,23346,17,23327,682,3137,0,1104,37,17148,500,1021,15446,105,0,547
1620391244123690008,LOW_DISPARITY,VALID,300,0,299,277,299,7,7,3,1,12,292,14,4,0,18092,3193,126,34,0,23,23,24559,16,24542,619,3487,0,971,35,18120,617,1016,16148,149,0,776
1620391244323820008,LOW_DISPARITY,INVALID,303,0,300,183,300,7,7,12,1,25,361,26,8,0,19824,3347,278,34,0,120,117,28431,19,28410,1042,3789,0,931,87,19928,1533,992,15033,145,0,3651
1620391244523836008,LOW_DISPARITY,VALID,298,0,302,282,302,12,13,3,1,16,269,27,5,1,15831,3266,128,39,0,16,18,23089,16,23071,697,3688,0,1538,40,15856,505,1008,14286,101,0,432
1620391244790458008,LOW_DISPARITY,VALID,300,0,298,260,298,6,6,4,1,18,293,19,8,0,17942,3333,151,41,0,40,40,25234,17,25215,900,3638,0,1371,43,17986,623,1021,15477,152,0,1288
1620391244990467008,LOW_DISPARITY,FEW_MATCHES,305,0,298,245,298,4,4,5,1,21,308,22,7,0,18968,3752,161,38,0,60,55,26815,17,26797,712,4136,0,1215,40,19039,941,1016,15787,178,0,1984
1620391245190479008,LOW_DISPARITY,VALID,296,0,305,263,305,8,8,5,1,19,292,21,6,0,17226,3914,176,39,0,33,37,25526,18,25506,1144,4363,0,1255,41,17262,769,1012,14865,139,0,1207
1620391245390485008,LOW_DISPARITY,VALID,301,0,296,263,296,8,8,4,1,19,291,18,6,0,17954,3511,143,34,0,38,37,25373,19,25352,863,3782,0,1203,35,17997,697,1009,15570,140,0,1232
1620391245590489008,LOW_DISPARITY,VALID,297,0,301,274,301,10,10,4,1,18,283,19,4,0,18801,3685,142,36,0,23,26,26156,23,26132,788,3943,0,1386,38,18829,570,1011,17015,140,0,632
1620391245790500008,LOW_DISPARITY,VALID,301,0,297,280,297,9,10,3,1,16,283,14,4,1,19521,3927,167,48,0,21,20,27896,25,27869,786,4531,0,1675,51,19555,592,1131,17499,138,0,750
1620391245990507008,LOW_DISPARITY,FEW_MATCHES,301,0,301,239,301,4,4,6,1,20,315,23,5,0,17820,3551,207,38,0,62,61,25566,20,25544,677,4080,0,1084,40,17878,995,994,14855,184,0,1784
1620391246190519008,LOW_DISPARITY,VALID,302,0,301,213,301,8,9,8,1,18,339,29,3,1,19237,3586,226,36,0,89,87,27500,22,27475,795,4030,0,1105,38,19321,1079,1009,14984,233,0,3008
1620391246457270008,LOW_DISPARITY,VALID,300,0,302,284,302,12,13,3,1,17,271,26,3,1,17417,3289,132,38,0,16,16,24329,17,24311,666,3665,0,1456,39,17439,510,1038,15734,141,0,501
1620391246657282008,LOW_DISPARITY,VALID,295,0,300,254,300,8,8,5,1,18,290,25,8,0,17796,4439,197,39,0,41,46,26584,17,26565,654,4975,0,1425,41,17838,896,1023,15256,150,0,1364
1620391246857287008,LOW_DISPARITY,VALID,300,0,295,277,295,5,5,3,1,16,278,18,6,0,16921,3409,125,35,0,23,23,23923,21,23901,788,3669,0,1286,37,16954,572,1008,15048,146,0,717
1620391247057302008,LOW_DISPARITY,VALID,301,0,299,282,299,5,6,3,1,10,284,18,5,1,19065,4000,132,64,0,19,18,27135,17,27116,654,4574,0,1622,67,19091,576,1018,17243,138,0,664
1620391247257305008,LOW_DISPARITY,FEW_MATCHES,291,0,299,202,299,2,2,9,1,20,333,28,7,0,20678,3484,222,27,0,89,98,28519,17,28501,667,3767,0,1219,29,20759,1125,1017,16177,206,0,3274
1620391247457310008,LOW_DISPARITY,VALID,302,0,291,256,291,6,6,6,1,19,295,19,4,0,18502,3803,188,66,0,46,44,26687,18,26667,668,4256,0,1800,71,18548,686,1236,15578,182,0,1503
